trial_id,model_tag,n_objects,rotation_deg,clockwise,probe_on_target,seed,probe_is_target,response,predicted,outcome,prompt_tokens,output_tokens,generation_time_s,error
026e85b3,qwen3.8-27b-nothink,3,20.0,False,False,105201,False,False,False,correct_rejection,7808,2,1.3660027384757996,
02bdcacd,qwen3.8-27b-nothink,3,20.0,False,True,100204,True,False,False,miss,7808,2,1.3660027384757996,
04938e4a,qwen3.8-27b-nothink,3,20.0,True,True,201,True,False,False,miss,7808,2,1.3660027384757996,
04dfcbd2,qwen3.8-27b-nothink,3,40.0,True,False,5409,False,False,False,correct_rejection,7808,2,1.3660027384757996,
07a3d4ec,qwen3.8-27b-nothink,3,100.0,True,True,1001,True,False,False,miss,7808,2,1.3660027384757996,
07c1cd2a,qwen3.8-27b-nothink,3,40.0,True,True,407,True,False,False,miss,7808,2,1.3660027384757996,
08adac4b,qwen3.8-27b-nothink,3,80.0,False,False,105803,False,False,False,correct_rejection,7808,2,1.3660027384757996,
092397e3,qwen3.8-27b-nothink,3,80.0,True,False,5801,False,False,False,correct_rejection,7808,2,1.3660027384757996,
09a12217,qwen3.8-27b-nothink,3,20.0,False,True,100201,True,False,False,miss,7808,2,1.3660027384757996,
0a9c880d,qwen3.8-27b-nothink,3,80.0,True,False,5803,False,False,False,correct_rejection,7808,2,1.3660027384757996,
0bc2dbec,qwen3.8-27b-nothink,3,60.0,False,False,105603,False,False,False,correct_rejection,7808,2,1.3660027384757996,
0dd43eb3,qwen3.8-27b-nothink,3,100.0,True,False,6006,False,False,False,correct_rejection,7808,2,1.3660027384757996,
0e2e46ff,qwen3.8-27b-nothink,3,60.0,False,True,100606,True,False,False,miss,7808,2,1.3660027384757996,
0e5d616c,qwen3.8-27b-nothink,3,100.0,True,True,1002,True,False,False,miss,7808,2,1.3660027384757996,
1135eb91,qwen3.8-27b-nothink,3,40.0,False,False,105405,False,False,False,correct_rejection,7808,2,1.3660027384757996,
