trial_id,model_tag,n_objects,rotation_deg,clockwise,probe_on_target,seed,num_frames,sampling,probe_is_target,response,predicted,outcome,prompt_tokens,output_tokens,generation_time_s,error
060b9818,gemma-4-31b-it,3,40.0,False,False,105409,4,greedy,False,True,True,false_alarm,497,2,8.02614140510559,
0e23ec70,gemma-4-31b-it,3,40.0,True,True,401,4,greedy,True,True,True,hit,497,2,0.4593782424926758,
128ca629,gemma-4-31b-it,3,40.0,False,True,100408,4,greedy,True,True,True,hit,497,2,0.4614522457122803,
1ce7215d,gemma-4-31b-it,3,40.0,True,True,408,4,greedy,True,True,True,hit,497,2,0.46309781074523926,
1f358840,gemma-4-31b-it,3,40.0,True,False,5409,4,greedy,False,True,True,false_alarm,497,2,0.45130038261413574,
26b72eb5,gemma-4-31b-it,3,40.0,True,False,5406,4,greedy,False,True,True,false_alarm,497,2,0.4702596664428711,
2de42c4a,gemma-4-31b-it,3,40.0,True,False,5408,4,greedy,False,True,True,false_alarm,497,2,0.4740104675292969,
31d962b9,gemma-4-31b-it,3,40.0,True,True,405,4,greedy,True,True,True,hit,497,2,0.48192477226257324,
3c0091bd,gemma-4-31b-it,3,40.0,True,True,407,4,greedy,True,True,True,hit,497,2,0.4885234832763672,
3c144664,gemma-4-31b-it,3,40.0,True,False,5400,4,greedy,False,True,True,false_alarm,497,2,0.48859500885009766,
3cc8dfa0,gemma-4-31b-it,3,40.0,True,True,400,4,greedy,True,True,True,hit,497,2,0.48868274688720703,
3d720cad,gemma-4-31b-it,3,40.0,True,True,402,4,greedy,True,True,True,hit,497,2,0.47424912452697754,
3eed1589,gemma-4-31b-it,3,40.0,False,True,100402,4,greedy,True,True,True,hit,497,2,0.4542074203491211,
476754a0,gemma-4-31b-it,3,40.0,False,False,105401,4,greedy,False,True,True,false_alarm,497,2,0.48805737495422363,
4a73bc16,gemma-4-31b-it,3,40.0,False,True,100406,4,greedy,True,True,True,hit,497,2,0.47510194778442383,
4d8173d5,gemma-4-31b-it,3,40.0,False,True,100401,4,greedy,True,True,True,hit,497,2,0.45592260360717773,
52bbb35b,gemma-4-31b-it,3,40.0,False,True,100409,4,greedy,True,True,True,hit,497,2,0.48735880851745605,
53c6e3bd,gemma-4-31b-it,3,40.0,True,True,409,4,greedy,True,True,True,hit,497,2,0.48376989364624023,
556a981d,gemma-4-31b-it,3,40.0,False,True,100403,4,greedy,True,True,True,hit,497,2,0.4778623580932617,
564df1d0,gemma-4-31b-it,3,40.0,False,False,105400,4,greedy,False,True,True,false_alarm,497,2,0.47263097763061523,
5765cf5d,gemma-4-31b-it,3,40.0,False,True,100400,4,greedy,True,True,True,hit,497,2,0.4628732204437256,
65fb7484,gemma-4-31b-it,3,40.0,True,False,5407,4,greedy,False,True,True,false_alarm,497,2,0.47913265228271484,
67d2f210,gemma-4-31b-it,3,40.0,True,True,403,4,greedy,True,True,True,hit,497,2,0.4826517105102539,
67d324ba,gemma-4-31b-it,3,40.0,True,False,5401,4,greedy,False,True,True,false_alarm,497,2,0.46042871475219727,
6d32fdbe,gemma-4-31b-it,3,40.0,False,True,100407,4,greedy,True,True,True,hit,497,2,0.48711204528808594,
7642fff4,gemma-4-31b-it,3,40.0,True,False,5404,4,greedy,False,True,True,false_alarm,497,2,0.48579835891723633,
7d4e1a67,gemma-4-31b-it,3,40.0,True,True,404,4,greedy,True,True,True,hit,497,2,0.48856258392333984,
96f839dd,gemma-4-31b-it,3,40.0,False,False,105406,4,greedy,False,True,True,false_alarm,497,2,0.4554331302642822,
97bdb59f,gemma-4-31b-it,3,40.0,False,False,105403,4,greedy,False,True,True,false_alarm,497,2,0.465883731842041,
9884f11f,gemma-4-31b-it,3,40.0,True,True,406,4,greedy,True,True,True,hit,497,2,0.48565220832824707,
9d5f48f9,gemma-4-31b-it,3,40.0,False,True,100404,4,greedy,True,True,True,hit,497,2,0.4573204517364502,
ae12c5d2,gemma-4-31b-it,3,40.0,False,False,105405,4,greedy,False,True,True,false_alarm,497,2,0.460249662399292,
b1783802,gemma-4-31b-it,3,40.0,False,False,105404,4,greedy,False,True,True,false_alarm,497,2,0.4832723140716553,
ba8bcf9e,gemma-4-31b-it,3,40.0,False,False,105402,4,greedy,False,True,True,false_alarm,497,2,0.45468902587890625,
bbba90a5,gemma-4-31b-it,3,40.0,True,False,5402,4,greedy,False,True,True,false_alarm,497,2,0.4707193374633789,
c38d9e53,gemma-4-31b-it,3,40.0,False,True,100405,4,greedy,True,True,True,hit,497,2,0.4687387943267822,
e057acfa,gemma-4-31b-it,3,40.0,True,False,5403,4,greedy,False,True,True,false_alarm,497,2,0.486767053604126,
e19ad3f7,gemma-4-31b-it,3,40.0,False,False,105407,4,greedy,False,True,True,false_alarm,497,2,0.45314669609069824,
e57f20a1,gemma-4-31b-it,3,40.0,False,False,105408,4,greedy,False,True,True,false_alarm,497,2,0.4866175651550293,
f25ddece,gemma-4-31b-it,3,40.0,True,False,5405,4,greedy,False,True,True,false_alarm,497,2,0.48591160774230957,
060b9818,gemma-4-31b-it,3,40.0,False,False,105409,4,recommended,False,True,True,false_alarm,497,2,1.0675337314605713,
0e23ec70,gemma-4-31b-it,3,40.0,True,True,401,4,recommended,True,True,True,hit,497,2,0.40191221237182617,
128ca629,gemma-4-31b-it,3,40.0,False,True,100408,4,recommended,True,True,True,hit,497,2,0.4027101993560791,
1ce7215d,gemma-4-31b-it,3,40.0,True,True,408,4,recommended,True,True,True,hit,497,2,0.40406274795532227,
1f358840,gemma-4-31b-it,3,40.0,True,False,5409,4,recommended,False,True,True,false_alarm,497,2,0.40515661239624023,
26b72eb5,gemma-4-31b-it,3,40.0,True,False,5406,4,recommended,False,True,True,false_alarm,497,2,0.40477800369262695,
